Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2020-01-01,"['MCHP', 'ROST', 'TXN', 'ATVI', 'BIDU', 'PEP', 'EBAY', 'MU', 'LRCX', 'SNPS', 'PAYX', 'EXC', 'CERN', 'CTSH', 'HON', 'CMCSA']",39.02,33.41,1
2020-01-03,"['TXN', 'ROST', 'PCAR', 'MU', 'BIDU', 'LRCX', 'ATVI', 'AMAT', 'CTSH', 'CERN', 'PAYX', 'PEP', 'CMCSA', 'SNPS', 'EXC', 'HON']",38.36,34.68,1
2020-01-04,"['EBAY', 'AMGN', 'MELI', 'TXN', 'CERN', 'PCAR', 'SNPS', 'CMCSA', 'AMAT', 'PEP', 'EXC', 'BIDU', 'INTC', 'AVGO', 'HON', 'PAYX']",33.57,37.03,0
2020-01-05,"['BIDU', 'ATVI', 'LRCX', 'NFLX', 'AMAT', 'LULU', 'CERN', 'PEP', 'CTSH', 'EXC', 'ROST', 'CMCSA', 'PCAR', 'AVGO', 'HON', 'PAYX']",31.89,32.75,0
2020-01-08,"['MAR', 'FB', 'MELI', 'VRTX', 'AMAT', 'LRCX', 'ROST', 'CTAS', 'CTSH', 'PEP', 'CERN', 'CMCSA', 'PCAR', 'HON', 'EXC', 'PAYX']",39.25,32.19,1
2020-01-09,"['ALGN', 'VRTX', 'SNPS', 'CERN', 'BIDU', 'MCHP', 'CTAS', 'PEP', 'ROST', 'CMCSA', 'CTSH', 'PAYX', 'AMAT', 'EXC', 'PCAR', 'HON']",30.61,32.04,0
2020-01-10,"['INTU', 'CTAS', 'ALGN', 'MAR', 'AMAT', 'FB', 'BIDU', 'PEP', 'LRCX', 'CHTR', 'ROST', 'EXC', 'CMCSA', 'PAYX', 'HON', 'PCAR']",40.24,32.07,1
2020-01-11,"['CTAS', 'NFLX', 'LRCX', 'ALGN', 'CHTR', 'BIDU', 'FB', 'SIRI', 'AMAT', 'PEP', 'EXC', 'PAYX', 'CMCSA', 'ROST', 'PCAR', 'HON']",37.63,31.53,1
2020-01-12,"['CTAS', 'LULU', 'SWKS', 'FB', 'BIDU', 'AMAT', 'ROST', 'PEP', 'EXC', 'LRCX', 'ATVI', 'PAYX', 'CHTR', 'CMCSA', 'PCAR', 'HON']",43.1,31.9,1
2020-01-15,"['COST', 'MCHP', 'FB', 'MAR', 'LRCX', 'BIDU', 'CTSH', 'PEP', 'AMAT', 'CMCSA', 'ATVI', 'ROST', 'EXC', 'PAYX', 'PCAR', 'HON']",34.5,33.54,1
2020-01-16,"['MAR', 'PAYX', 'ALGN', 'FB', 'AMAT', 'ATVI', 'LRCX', 'BIDU', 'EXC', 'ROST', 'CHTR', 'CMCSA', 'EBAY', 'PEP', 'PCAR', 'HON']",35.84,31.63,1
2020-01-17,"['ATVI', 'AZN', 'COST', 'CERN', 'SNPS', 'FB', 'AMAT', 'BIDU', 'ROST', 'EXC', 'PEP', 'EBAY', 'CHTR', 'CMCSA', 'PCAR', 'HON']",33.87,32.6,1
2020-01-18,"['FB', 'CERN', 'COST', 'VRTX', 'BIDU', 'AMAT', 'LRCX', 'EBAY', 'ATVI', 'EXC', 'CHTR', 'ROST', 'PEP', 'HON', 'CMCSA', 'PCAR']",38.53,32.31,1
2020-01-19,"['MAR', 'TXN', 'AZN', 'FB', 'ROST', 'BIDU', 'VRTX', 'AMAT', 'EXC', 'ATVI', 'HON', 'PCAR', 'EBAY', 'CHTR', 'CMCSA', 'PEP']",32.9,31.32,1
2020-01-23,"['AMAT', 'EXC', 'BIDU', 'LRCX', 'VRTX', 'ROST', 'NFLX', 'EBAY', 'FB', 'CMCSA', 'ALGN', 'SIRI', 'CHTR', 'PEP', 'HON', 'PCAR']",31.59,33.54,0
2020-01-24,"['FB', 'LRCX', 'EBAY', 'BIDU', 'ALGN', 'AMAT', 'AZN', 'ATVI', 'MCHP', 'SIRI', 'ROST', 'CMCSA', 'HON', 'CHTR', 'PEP', 'PCAR']",33.93,33.73,1
2020-01-25,"['ALGN', 'BIDU', 'FB', 'AMAT', 'SWKS', 'AZN', 'SIRI', 'NFLX', 'ROST', 'EBAY', 'ATVI', 'CHTR', 'PEP', 'CMCSA', 'HON', 'PCAR']",30.16,32.25,0
2020-01-26,"['SWKS', 'CTAS', 'MELI', 'ALGN', 'SIRI', 'EBAY', 'FB', 'AMAT', 'PAYX', 'AZN', 'ROST', 'HON', 'PEP', 'CHTR', 'CMCSA', 'PCAR']",40.12,31.05,1
2020-01-29,"['INTC', 'MRVL', 'PAYX', 'MU', 'FB', 'AMAT', 'EBAY', 'AZN', 'ROST', 'ATVI', 'CHTR', 'HON', 'CMCSA', 'EXC', 'PEP', 'PCAR']",32.52,31.76,1
2020-01-30,"['MRVL', 'MCHP', 'NFLX', 'AZN', 'COST', 'HON', 'AMAT', 'EBAY', 'ATVI', 'ROST', 'PEP', 'EXC', 'CMCSA', 'PCAR', 'CHTR', 'KDP']",24.23,32.86,0
2020-01-31,"['JD', 'MCHP', 'MU', 'PAYX', 'CTAS', 'BIDU', 'SIRI', 'EBAY', 'AMAT', 'ROST', 'PEP', 'PCAR', 'KDP', 'CHTR', 'ATVI', 'CMCSA']",25.82,30.68,0
2020-02-01,"['CHKP', 'MU', 'EXC', 'AMAT', 'CTAS', 'JD', 'EBAY', 'BIDU', 'PAYX', 'SIRI', 'PEP', 'ROST', 'PCAR', 'KDP', 'CMCSA', 'ATVI']",18.54,27.59,0
2020-02-02,"['BIDU', 'MAR', 'JD', 'AMAT', 'EXC', 'CTAS', 'MU', 'SIRI', 'PAYX', 'CMCSA', 'EBAY', 'ROST', 'PCAR', 'PEP', 'KDP', 'ATVI']",18.73,28.01,0
2020-02-05,"['EBAY', 'JD', 'ADI', 'NTES', 'ALGN', 'AZN', 'BIDU', 'AMAT', 'ROST', 'SIRI', 'PCAR', 'CTAS', 'CMCSA', 'MAR', 'KDP', 'ATVI']",24.18,30.57,0
2020-02-06,"['ADI', 'AZN', 'DLTR', 'ALGN', 'AMGN', 'SIRI', 'AMAT', 'BIDU', 'ROST', 'JD', 'MAR', 'PCAR', 'ATVI', 'CMCSA', 'CTAS', 'KDP']",24.22,30.02,0
2020-02-07,"['MCHP', 'SWKS', 'JD', 'ALGN', 'SIRI', 'BIDU', 'MU', 'AMAT', 'AZN', 'ROST', 'CTAS', 'PCAR', 'MAR', 'KDP', 'CMCSA', 'ATVI']",29.76,31.18,0
2020-02-08,"['NXPI', 'ADI', 'MRVL', 'SWKS', 'ALGN', 'EBAY', 'MAR', 'AMAT', 'CTAS', 'ROST', 'CMCSA', 'SIRI', 'AMGN', 'KDP', 'BIDU', 'ATVI']",23.84,32.09,0
2020-02-09,"['NXPI', 'PCAR', 'ADI', 'AMGN', 'MRVL', 'MAR', 'SWKS', 'MU', 'AMAT', 'ROST', 'KDP', 'CMCSA', 'BIDU', 'SIRI', 'CTAS', 'ATVI']",24.88,31.9,0
2020-02-12,"['ADI', 'MRVL', 'AMAT', 'SWKS', 'MU', 'ALGN', 'EBAY', 'MAR', 'ROST', 'BIDU', 'SIRI', 'CMCSA', 'CTAS', 'KDP', 'PCAR', 'ATVI']",22.14,33.22,0
2020-02-13,"['BKNG', 'ROST', 'JD', 'MRVL', 'ALGN', 'EXC', 'INTU', 'MAR', 'AMAT', 'SIRI', 'BIDU', 'CTAS', 'CMCSA', 'ATVI', 'KDP', 'PCAR']",24.65,32.71,0
